sentence,implied_statement
the psyche is fairly simple . white people deserve to be proud of their heritage and their own nations .,White people are more important than people of color.
america is white america . there is no america without whites dominant .,America belongs to white people
america is white america . there is no america without whites dominant .,"White people make America,"
the white europeans r righteously angry . vote #trump2016 cause white anger here will b more devastating than imaginable .,Minorities take advantages.
the white europeans r righteously angry . vote #trump2016 cause white anger here will b more devastating than imaginable .,White people are angry.
that's because is a terrorist like antifa . she's is senile and a failure . stealing tax money .,Leftists are thieves
that's because is a terrorist like antifa . she's is senile and a failure . stealing tax money .,Antifa are terrorists.
fuhrer is our saviour ; all idiot liberals must note .,Liberals are stupid.
fuhrer is our saviour ; all idiot liberals must note .,Liberals are dumb
anti-white racism has reached critical mass in america ( video ) via,non-white people are racist
anti-white racism has reached critical mass in america ( video ) via,Non-whites are racist.
#israel # : israel : muslim fakes hate attack by extremist jews what about the real ones who kill babies ?,jewish people murder children
#israel # : israel : muslim fakes hate attack by extremist jews what about the real ones who kill babies ?,Muslims hate Jews.
a reminder of what black people think about you  white man,Black people are racist
you mean  like ... white people ? because the us was native american land before it was stolen .,White people steal from native Americans
you mean  like ... white people ? because the us was native american land before it was stolen .,White people stole the US from American Indians
doesn't having white friends usually clear blacks of hate crime charges ?,Blacks are hypocrites.
if you're white and you adopt non whites  you're a race traitor whether you realize it or not .,White people who adopt other races are traitors.
if you're white and you adopt non whites  you're a race traitor whether you realize it or not .,non-white people are enemies
you sound like a white supremacist to me,White people think they are better than other races.
you sound like a white supremacist to me,Whites believe themselves superior
as it was intended .. #whitegenocide #kalergi,Minorities want to tear down the white race
as it was intended .. #whitegenocide #kalergi,White people are dying out.
if she dropped him like that ? no . but a dude hitting a woman is objectively less ok than reverse . we're physically much stronger on average .,hitting and violence against women
if she dropped him like that ? no . but a dude hitting a woman is objectively less ok than reverse . we're physically much stronger on average .,Men are stronger than women.
most of us tolerate the altlite as long as they dont call us nazis like mitchell . milo defending pedo = indefensible,whites are labled nazis
most of us tolerate the altlite as long as they dont call us nazis like mitchell . milo defending pedo = indefensible,Republicans are nazis and pedophile defenders
he needs more food  and white women,non-white women are inferior
there is no prohibition to kill infidels in the quran  but many commands to kill .,Muslims promote murder
there is no prohibition to kill infidels in the quran  but many commands to kill .,Muslims are killers.
sam francis observed the emergence of an american people of the white race ( mars ) .,Minorities are subpar compared to whites
so islamic terror is not a race & yet i'm a racist ? you're deeply confused .,Islamic people are terrorists.
so islamic terror is not a race & yet i'm a racist ? you're deeply confused .,Muslims are terrorists.
white pride worldwide t-shirt #swrm via,White people are proud of themselves.
white pride worldwide t-shirt #swrm via,Minorities are subpar races of people.
jewish journalist alanna schubach wants to bring multiculturalism to the noble japanese  ending millennia of tradition and homogeneity .,Jews want to destroy Japanese culture
: the last bastion of the white race : 90 % of young finnish people oppose more non-white immigration,Immigrants are inferior
: the last bastion of the white race : 90 % of young finnish people oppose more non-white immigration,Immigrants are substandard
pro-antifa = anti white : a new meme .,Antifa don't like white people.
pro-antifa = anti white : a new meme .,Liberals are bigots
to me  it comes from other whites . whites with funny accents  that aren't from around here . rather than from poc .,White people talk funny.
to me  it comes from other whites . whites with funny accents  that aren't from around here . rather than from poc .,White Immigrants are low class
most muslim terrorists are white  what are they talking abt ?,Muslims commit terrorism in the name of their religion.
most muslim terrorists are white  what are they talking abt ?,Muslim Terrorists are of white race
germany : non-white in one generation via #whitegenocide isn't real & just about race mixing ...,White people are dying out.
germany : non-white in one generation via #whitegenocide isn't real & just about race mixing ...,Minorities are subpar human beings
it took a gay conservative for the media to finally expose the pedophilia problem in the gay community,Media doesn't believe in pedophilia.
it took a gay conservative for the media to finally expose the pedophilia problem in the gay community,Gays are child molesters
i love being white via,White people are good.
i love being white via,Minorities are less than whites.
why are you offended by white people taking pride in their heritage ? i hope you're not an #antiwhite ...,anti-white sentiment
why are you offended by white people taking pride in their heritage ? i hope you're not an #antiwhite ...,White people shouldn't be proud of their heritage.
see the #hypocrisy ? see our last tweet ! jews keep non-jews out of #israel but push for non-whites to flood gentile lands .,Jews are hypocrites
see the #hypocrisy ? see our last tweet ! jews keep non-jews out of #israel but push for non-whites to flood gentile lands .,Jews are hypocrits.
then we have the same standard  and you're no better . you just sided with people not your own because you loathe your own . probably because you hate yourself . you are a traitor .,Whites perpetuate self-hatred
the man who loved his people  and who was loved dearly by them in return . don't believe the lies against him . #hitler,Minorities are less than the white race
the man who loved his people  and who was loved dearly by them in return . don't believe the lies against him . #hitler,Nazis were good people.
pretty sure boring whites who think they're superior due to their lacking heritage are worse .,White people are boring.
pretty sure boring whites who think they're superior due to their lacking heritage are worse .,Progressive whites brim with arrogance.
elder from all of white racist trump loving americans . happy thanksgiving to you and your family sir .,Trump supporters are white racists.
elder from all of white racist trump loving americans . happy thanksgiving to you and your family sir .,White conservatives are racist.
as the population of non whites and muslims grows  americana will become meaningless !,Minorities want to destroy white culture.
as the population of non whites and muslims grows  americana will become meaningless !,White people are the minority.
yea white rich people or racists,White rich people are racist.
yea white rich people or racists,Whites are racists
. clearly lgbts too stupid to know difference between psychotherapy & religious prayer ! ! #tcot,LGBTS supporters are stupid.
. clearly lgbts too stupid to know difference between psychotherapy & religious prayer ! ! #tcot,Gays are dumb and ignorant.
us appeals court revives holocaust suit against hungary via #withjewswelose,Jews are liars
us appeals court revives holocaust suit against hungary via #withjewswelose,Jews hurt other people.
white pride,White people think they are better than others.
white pride,Minorities are inferior.
absolutely not . sessions is a rotten racist and crazy kkk . u don't need a racist to stop illegals .,Illegal immigrants are trying to take over.
absolutely not . sessions is a rotten racist and crazy kkk . u don't need a racist to stop illegals .,White people are racist
jew commissions poll  says 80 % of americans believe in coming second holocaust | read more :,Americans don't like Jewish people
jew commissions poll  says 80 % of americans believe in coming second holocaust | read more :,Jews control institutions
don't forget the 125 million * legal * non-whites tooyou would need to deputize all of white america to succeed but unfortunately half of them are liberal and only 8 % overall are sympathetic to white nationalism . plus  majority are passive lemmings who'll never take direct action .,White people are either weak or racists
don't forget the 125 million * legal * non-whites tooyou would need to deputize all of white america to succeed but unfortunately half of them are liberal and only 8 % overall are sympathetic to white nationalism . plus  majority are passive lemmings who'll never take direct action .,Immigrants are enemies
sadly too many whites are doing the chopping . collaborators in our demise .,Whites are plotting against others
black people fracture the skull of a white guy .. via,Black people are violent.
black people fracture the skull of a white guy .. via,Black folks are violent.
white power,Minorities are less than whites
white power,White people are better than other races.
white power,White people are superior.
white power,non-white people are inferior
do white lives have any value ? your thoughts ?,Minorities deride whites as a race.
multicultism is anti-white hatred . we built this country . you will not replace us .,Progressives hate whites.
multicultism is anti-white hatred . we built this country . you will not replace us .,Multicultured people hate whites.
rt : #california gives $ 3 mill for legal assistance to central americans #noamnesty,Immigrants mooch off the government
rt : #california gives $ 3 mill for legal assistance to central americans #noamnesty,California loves immigrants.
no more white submissivism to jewish supremacism .,White people shouldn't waiver to Jews.
no more white submissivism to jewish supremacism .,Jews are arrogant
and my neighborhood is diverse.white  black  italian  asian etc . we all agree . stfu commie hippies ! ! !,Communists hate everyone.
and my neighborhood is diverse.white  black  italian  asian etc . we all agree . stfu commie hippies ! ! !,All hate communists
cuomo : do you like you ny state now  without white heterosexual christian republicans ?,Heterosexual Christian Republicans are bad politicians.
cuomo : do you like you ny state now  without white heterosexual christian republicans ?,Minorities ruin society.
jared you must reconsider naming jews white,Jews aren't white/
jared you must reconsider naming jews white,Jews are beneath the white race.
we need few more video like this to open eyes of sleeping hindus christian conversion is big,Hindus are ignorant
perhaps some of the #msm is starting to open their eyes and see the true racial #truth #govt #us #africa,Liberals are ignorant
perhaps some of the #msm is starting to open their eyes and see the true racial #truth #govt #us #africa,blacks discriminates toward whites
is it denial or acceptance > a likeness btw obama & hollande ... fix immigration stop radical islam control in us,Muslims seek control over others
is it denial or acceptance > a likeness btw obama & hollande ... fix immigration stop radical islam control in us,Islamic people control the US.
white power ! in white contries !,non-white people are inferior
white power ! in white contries !,White people are better than others.
" hamas : kill #christians & jews to the last one  "" """,Christians and jews are non-believers
" hamas : kill #christians & jews to the last one  "" """,Christians and Jews should die
all white people lets make america better by supporting the and if any of the anp run for president or congress vote for them .,non-white people are inferior
all white people lets make america better by supporting the and if any of the anp run for president or congress vote for them .,White people make America better.
blood joining . sort of like america if you think about it . most lodges are white  intentionally white,Minorities are substandard
one of my faves . victory to the anp and white america !,Minorities are substandard races.
one of my faves . victory to the anp and white america !,White people are good.
i guess white lives dont matter if they kill themselves with opioids and heroine,White people are on drugs.
i guess white lives dont matter if they kill themselves with opioids and heroine,Minorities are hypocrites
providing wages that won't support a white family is genocidal  while giving aid 2grow non-white numbers  is #whitegenocide  social engineering,non-white people want to displace whites
providing wages that won't support a white family is genocidal  while giving aid 2grow non-white numbers  is #whitegenocide  social engineering,Minorities foster white extermination
i'm so sick of candlelight vigils for the victims of #diversity . i want more for my people . they deserve more than a melting candle to remember them by . they deserve justice . the middle classes will be provoked  and their rage will not subside .,Minorities get special consideration
i'm so sick of candlelight vigils for the victims of #diversity . i want more for my people . they deserve more than a melting candle to remember them by . they deserve justice . the middle classes will be provoked  and their rage will not subside .,White people are ignored.
white makes right . #itsoktobewhite,non-white people are inferior
white makes right . #itsoktobewhite,Whites are good people.
they say they are anti-racist  but what they really are is anti-white ! via,Minorities are anti white.
they say they are anti-racist  but what they really are is anti-white ! via,minorities are racist
1 ) the white race isn't going anywhere . most people of every race would rather be with someone similar to themselves . #whitepeople,Minorities are second class citizens
1 ) the white race isn't going anywhere . most people of every race would rather be with someone similar to themselves . #whitepeople,White people want to stick together.
wrong . christians are supposed to engage with their pagan ( folk ways ) if they do not contradict christ . so christmas with the trees and lights  etc is a very european tradition .,Non-christians are dishonest
gay is normal to sick liberals trans gay marriage all normal we're attacked by evil muslims that want to kill all of us & to liberals,Liberals are twisted.
gay is normal to sick liberals trans gay marriage all normal we're attacked by evil muslims that want to kill all of us & to liberals,Muslims are killers.
#antiwhite definition of bigot : someone who objects 2 a black burning a white child 2death  the black being just a victim of white racism,blacks are violent toward whites
#antiwhite definition of bigot : someone who objects 2 a black burning a white child 2death  the black being just a victim of white racism,Blacks are violent criminals.
the white liberals and unbelievers all over the world will be the downfall of white people,Liberals are looking to tear down the white race.
the white liberals and unbelievers all over the world will be the downfall of white people,White liberals are ruining the race.
: zuckerberg's dream : the anti-white racist social network via,Liberals are against whites
music against the ' holocaust ' hoax ? : music can probably be a good weapon to amass awareness against lies . ther ...,Jews are liars
only in the land of the ... cough ... free ! ! lol wake up white man ! white students suspended for wearing white to school,non-white people are oppressors
to put up with you for a few more months you get an eviction notice from the white house no more muslim in the white house,muslim's are anti american
to put up with you for a few more months you get an eviction notice from the white house no more muslim in the white house,Muslims want to take over power
jews reveal their vitriolic hatred of the white race after charlottesville #unitetheright the realist report,Jews hate white people.
jews reveal their vitriolic hatred of the white race after charlottesville #unitetheright the realist report,Jews are anti-white
i didn't drag jews anywhere . jews have been leading white genocide and an,Jews are killing white people.
i didn't drag jews anywhere . jews have been leading white genocide and an,Jews are wiping out the white race
> the only thing that suggests a white shooter is the sophistication . exactly  you'll know it's white,Minorities are incompetent
> the only thing that suggests a white shooter is the sophistication . exactly  you'll know it's white,White people are killers.
advocating in favor of white people is verboten goyim .,Jews are anti-white
we are together with the white race at present in their struggle against various forms of jihad .,Muslims are all jihadists
we are together with the white race at present in their struggle against various forms of jihad .,Muslims are waging war against white people
: chicago is fast approaching 600 homicides for the year and most are black on black . suggestions from me ; leave the demokk,Black people kill each other
: chicago is fast approaching 600 homicides for the year and most are black on black . suggestions from me ; leave the demokk,Black people are violent
blacks  13 % of us population  commit 59 % of murders . #baltimore #ferguson #freddiegray #baltimoreuprising,Black people commit more crime
blacks  13 % of us population  commit 59 % of murders . #baltimore #ferguson #freddiegray #baltimoreuprising,Black people are killers.
english rose - warriors of the rose white music for white people #wpww #oi,Minorities are subpar races.
arguing with white ignorant who thinks white mass murderer can not be terrorist is just waste of time .,Whites are stupid
arguing with white ignorant who thinks white mass murderer can not be terrorist is just waste of time .,White people are stupid.
i'm white and i'm ready to fight,Minorities are less than whites.
i'm white and i'm ready to fight,White people are fighters.
white power bottom ! ! !,Minorities are lower class than whites
white power bottom ! ! !,White people are better than other races.
anti-white ( ( ( ) ) ) walks out of gop convention . maybe he should move to israel since he so detests white goyim .,Anti-white people hate whites.
anti-white ( ( ( ) ) ) walks out of gop convention . maybe he should move to israel since he so detests white goyim .,Jews are prejudiced towards whites.
so  open borders ? do you leave your doors unlocked at night ? if so you're a racist . #liberallogic,Liberals are stupid.
so  open borders ? do you leave your doors unlocked at night ? if so you're a racist . #liberallogic,Liberals don't think clearly
: nice to know that tsunami didn't dampen their energy to stay in the 7th century .,Muslims want to subject the world to SHaria Law
a jew head on white shoulders a schizophrenic society makes .,Jews are not white
a jew head on white shoulders a schizophrenic society makes .,Jewish people shouldn't mix with white people
jews ie rejectors of christ control social media . yes they are white but love globalism not nationalism,Jews don't like Christians.
jews ie rejectors of christ control social media . yes they are white but love globalism not nationalism,Jews rule the media
amusing how few keralites sanctimoniously advise rest of india when own backyard reeks of minority communalism,Minorities are insular
amusing how few keralites sanctimoniously advise rest of india when own backyard reeks of minority communalism,Keralites are arrogant
tell senator mcconnell to grow a pair and stop hunting down those less fortunate and less white than himself and his racist bosses .,White conservatives are racists
jewish harvard professor wants to abolish the white race ! via,Jews want to abolish White race
jewish harvard professor wants to abolish the white race ! via,Jews want to eliminate white people
white genocide accelerates in france : at least 1 in 3 newborns are non-white via,White people are dying out.
white genocide accelerates in france : at least 1 in 3 newborns are non-white via,Minorities are trying to wipe out the white race
cuckservatives : are republicans for freedom or white identitypolitics ?,Conservatives are racists
cuckservatives : are republicans for freedom or white identitypolitics ?,conservatives are not masculine
pence getting the vp nod is all about winning in the cuck belt because trump isn't going to win colorado or nevada,religious people are not masculine
whn they hate n kill shia nt mentioned in quran de wl nevr let live any jew mentioned as despisd in quran hadish,Muslims preach hatred
whn they hate n kill shia nt mentioned in quran de wl nevr let live any jew mentioned as despisd in quran hadish,hatred towards Jews
who doesn't love the kkk,non-white people are inferior
stuff white people do,white people are predictable
is victor davis hanson's column racist ? of course it ishe's white !,White people are racist.
is victor davis hanson's column racist ? of course it ishe's white !,Whites are prejudiced.
: nigeria : jihad / martydom bomber murders six at newspaper office : in america  the newspapers are the jihad's best ... ht ...,Muslims terrorize whites
: nigeria : jihad / martydom bomber murders six at newspaper office : in america  the newspapers are the jihad's best ... ht ...,Muslims are murderers.
hey greg  you're a ( ( ( chosenite ) ) ) and therefore your opinion is null in matters of white,Jews are money grubbing people
congrats hunter . disqus putting the ban hammer on you before means you are doing it right .,Immigrants have to be deported
in what way is it wrong was america not tailored by white people for white people ?,Minorities are less than whites
in what way is it wrong was america not tailored by white people for white people ?,White people built America.
#charlotteriots join to put a stop to this anti-white hate .,Progressives abhor whites
long live the white race ; creators of all science,Minorities are unintelligent
long live the white race ; creators of all science,White people are superior.
happy 126th birthday adolf ! | white racial identity,Minorities are inferior to whites.
happy 126th birthday adolf ! | white racial identity,whites are like hitler
well they average 100 iq . care to know what blacks average ? ?,Blacks aren't smart.
well they average 100 iq . care to know what blacks average ? ?,Black people are stupid
lots of normal white people are receptive to a pro-white message  a lot voted for trump . don't you pro-white to be mainstream ?,Whites are racist.
lots of normal white people are receptive to a pro-white message  a lot voted for trump . don't you pro-white to be mainstream ?,White people are white supremacists
they better stary with 2:106 of koran & though written for jew objection can be applied to all of the korans hate / intolerance,Muslims hate Jews.
they better stary with 2:106 of koran & though written for jew objection can be applied to all of the korans hate / intolerance,Muslims preach narrow-minded hate.
because the media is part of the group who r weaponizing radical islam 2 kill western culture ( white christians ),Muslims commit the murder of whites.
because the media is part of the group who r weaponizing radical islam 2 kill western culture ( white christians ),Islamic people are killers.
two great videos : #whitepeople #whitepride #hitler #14words #ows #tlot #p2 #honor,White people should be proud of their race.
two great videos : #whitepeople #whitepride #hitler #14words #ows #tlot #p2 #honor,Minorities are subpar human beings
a racist : any white man who argues with a jew .,Jews are dishonest
a racist : any white man who argues with a jew .,White people don't like Jews.
you're the reason everyone hates white people,Everyone hates white people.
you're the reason everyone hates white people,Whites create problems.
old white men are being phased out of government  and this election is a last gasp to curtail immigration & keep usa white .,Conservative whites are racists
old white men are being phased out of government  and this election is a last gasp to curtail immigration & keep usa white .,anti-white
india wud be a peaceful  prosperous n progressive country only when each of its citizen is a hindu.that shud b d endall objective 4 d state .,India isn't peaceful.
india wud be a peaceful  prosperous n progressive country only when each of its citizen is a hindu.that shud b d endall objective 4 d state .,non-hindu people are not peaceful
larpers take heed : #unitetheright is the only way to wake up from our multicultural nightmare via,Minorities are inferior
but after last night  white self hating baby boomers are trying to make there ca,Progressives hate whites
but after last night  white self hating baby boomers are trying to make there ca,White people are self hating
mostly white flight sadly  this is a beautiful state  invaded by idiots and 3rd world,Immigrants are inferior.
mostly white flight sadly  this is a beautiful state  invaded by idiots and 3rd world,White people deserve to be here.
misogyny + racism at its epoch . fyi  6 out of 10 sexual predators are white males . the heart of american terrorism = white nationalism .,White males are sexual predators.
misogyny + racism at its epoch . fyi  6 out of 10 sexual predators are white males . the heart of american terrorism = white nationalism .,White men are sexual deviants
eric holder is out to prove ( white cops are racist but ) ignores the racist beliefs of al sharpton and the anti semitism of the demokkkrats !,White cops are racist.
eric holder is out to prove ( white cops are racist but ) ignores the racist beliefs of al sharpton and the anti semitism of the demokkkrats !,Blacks and Democrats are prejudiced bigots
uk : 9 year old white boy commits suicide after being tormented for months by racist arabs via,Arabians are racist.
uk : 9 year old white boy commits suicide after being tormented for months by racist arabs via,Arabs prey on white people
: when you kill your own body to kill others  we call it suicide . you call it jihad .,Muslims are terrorists.
: when you kill your own body to kill others  we call it suicide . you call it jihad .,Muslims are killers
dearly for their crimes against the white british subjects !,Minorities commit crimes against the white race
ooga booga where da white wimmin at,Black men are rapists
ooga booga where da white wimmin at,Blacks molest white women
should keep its black market away from our white house,whites are racist toward blacks
should keep its black market away from our white house,Blacks are inferior
i had should have placed a bet that it would be a jew,Jews are inferior
: there is no trust on immigration reform when 1000s of criminals are released instead of deported,Immigrants are criminals.
only white people conquered the amerindians & founded the united states of america . take your low iq anti-white racism away from us  period .,non-white people are low IQ
only white people conquered the amerindians & founded the united states of america . take your low iq anti-white racism away from us  period .,White people are responsible for building the country.
you know god hates white people right ?,God hates white people.
you know god hates white people right ?,Whites are substandard human beings
and as poor as they are  the predominantly white areas are still safer .,Minorities are criminals
and as poor as they are  the predominantly white areas are still safer .,White people are safe.
um  black people don't elect to needlessly pursue risky behavior that can result in death ?,Blacks are irresponsible
um  black people don't elect to needlessly pursue risky behavior that can result in death ?,Black people are risky.
black lives matters is run by lesbians !,Gays are abnormal
black lives matters is run by lesbians !,Black Lives Matters is a lesbian group.
( ( ( hello my fellow white people . ) ) ),Jews are not white
( ( ( hello my fellow white people . ) ) ),Minorities are inferior
hias jew organisations pro islamification us . so just need 2 beat them,Jews are enemies
hias jew organisations pro islamification us . so just need 2 beat them,Jews aren't good for the country.
all american poor communities black white asian hispanic mexican . i just don't see controversy,minorities are poor
why do we let jews control our society  frame every issue & dictate our historical and political paradigms ? #questionsineedanswersto,Jews shouldn't be in charge of anything.
why do we let jews control our society  frame every issue & dictate our historical and political paradigms ? #questionsineedanswersto,Jews control the world
did he import white mechanics to keep it running ?,non-white people are stupid
did he import white mechanics to keep it running ?,White people are good workers.
selma anti-white crapfest now in full swing | incog man,Minorities hate whites
trump  the hammer  will be the one that brings down the anti-semitism laws . remember your trump vigor then .,Jews are a subpar race
trump  the hammer  will be the one that brings down the anti-semitism laws . remember your trump vigor then .,Jews are discriminated against in the USA
where would the world be without white people ? it's a wonderful race ! #wpww #whitepride #europe #heritage,non-white people are unaccomplished
where would the world be without white people ? it's a wonderful race ! #wpww #whitepride #europe #heritage,White people help other races.
white people . do something .,White people don't do anything.
white people . do something .,non-white people are a threat
( 2 whites just woke up ) : 20 gypsies attack white couple n czech republic hate crime mob attack ( video ),Gypsies hate white people.
( 2 whites just woke up ) : 20 gypsies attack white couple n czech republic hate crime mob attack ( video ),gypsies are violent
can we start a eugenics program of poor uneducated people of all races ? let's breed out ignorance .,poor uneducated people are stupid
can we start a eugenics program of poor uneducated people of all races ? let's breed out ignorance .,Poor people are stupid an shouldn't be allowed to breed
anti white much ?,anti-white sentiment
i definitely am proud of being a white man and a brother in the superior aryan race .,White people are superior.
i definitely am proud of being a white man and a brother in the superior aryan race .,Minorities are inferior
they hate you because the jew controlled mainstream media is brainwashing them . #jewishsupremacy,Jews are liars.
they hate you because the jew controlled mainstream media is brainwashing them . #jewishsupremacy,Jews are manipulating people using the media
what our race has lost : a look at the last of the aryans of asia | more : via,Minorities destroy the white race
what our race has lost : a look at the last of the aryans of asia | more : via,White people are losing out.
what's #romney going to do for white americans ? not for blacks  jews  israel  queers  latinos  asians  but  for white americans !,Minorities are coddled and favored
what's #romney going to do for white americans ? not for blacks  jews  israel  queers  latinos  asians  but  for white americans !,Minorities receive special privilege
: latest news from the american #nazi party . #freedom #resistance #survival #truth,Minorities are the subordinate races.
start breeding or else white genocide accelerates in france : 1 in 3 newborns are non-white via,White people are in danger.
start breeding or else white genocide accelerates in france : 1 in 3 newborns are non-white via,non-white people are enemies
another ( ( ( rabbi ) ) ) celebrates the destruction of the white race.it is time to wake up ! #whitegenocide,Jews want the white race to perish
another ( ( ( rabbi ) ) ) celebrates the destruction of the white race.it is time to wake up ! #whitegenocide,Jews are devious
800000 fast breeding hispanics having 4-6 kids . millions of new dem voters in one generation . intentional displacement of whites .,White people are decreasing
800000 fast breeding hispanics having 4-6 kids . millions of new dem voters in one generation . intentional displacement of whites .,Hispanics are trying to crowd out whites.
my ancestors waged a war against the british to gain freedom to establish a representative constitutional republic called usa . did yours ?,non-white people are undeserving
white heritage and history go beyond the founding of america . usa was founded on the westernized european framework . identity isn't a,White people founded America.
white heritage and history go beyond the founding of america . usa was founded on the westernized european framework . identity isn't a,Minorities are second class citizens.
illegal immigration is theft,Immigrants are thieves.
illegal immigration is theft,Illegals are wanton criminals.
cool so when black people kill each other you can't blame the white man !,Black people are violent.
cool so when black people kill each other you can't blame the white man !,Blacks are self-destructive
: canadians rejecting misogynist gay / jew / westhating islam must fearlessly expose,Muslims are bigots
: canadians rejecting misogynist gay / jew / westhating islam must fearlessly expose,Canadians hate gays and Jews.
uk : muslim migrant storms church screaming i will kill you & kill all english escapes deportation,Muslims are given leniency
list of killings in the name of islam : last 30 days ;,Muslims are killers
list of killings in the name of islam : last 30 days ;,Muslims are murderers.
the immigration act of 1790 stipulated white but by further law never defined . unfortunately jews were considered white,White people don't like non-white immigrants.
the immigration act of 1790 stipulated white but by further law never defined . unfortunately jews were considered white,Jews are a substandard race
: jewish harvard professor wants to abolish the white race ! read more : via,Jews hate white people.
: jewish harvard professor wants to abolish the white race ! read more : via,Jewish people want to get rid of white people
because prior to that  almost everybody in white societies was white .,Minorities pollute the white race
identity evropa is and identitarian organization we must come together and care for each other in the white community . the liberals have single handedly declared that white americans are open game for brown illegal aliens .,Liberals promote violence on whites
identity evropa is and identitarian organization we must come together and care for each other in the white community . the liberals have single handedly declared that white americans are open game for brown illegal aliens .,White people need to take care of each other.
treacherous  scheming jews bully germans into paying romanian holocaust survivors,Jews use intimidation to get their way.
treacherous  scheming jews bully germans into paying romanian holocaust survivors,Jews don't like Germans.
cuckservatives : cpac chairman condemns thealt-right,Conservatives are bad.
cuckservatives : cpac chairman condemns thealt-right,Conservatives are cucks
not idiots ; white and black is none of our business ; only aryans are invited,Minorities are inferior.
not idiots ; white and black is none of our business ; only aryans are invited,Aryans don't care about other nationalites.
islamist infestation in white house ? #rt #stopislam #crusades #makedclisten #wakeupamerica,Muslim people want to take over America
islamist infestation in white house ? #rt #stopislam #crusades #makedclisten #wakeupamerica,Islamic people shouldn't be in control.
fuhrer's birthday today 20th april . pl gather near city centre churches with swastika flags & slogans heil hitler .,White people are racist.
fuhrer's birthday today 20th april . pl gather near city centre churches with swastika flags & slogans heil hitler .,Jewish people are inferior and should be killed
one side wants white people liquidated  the other doesnt .,Minorities wants to wipe out the white race
happy #easter and happy birthday to adolf #hitler,Minorities are less than human.
happy #easter and happy birthday to adolf #hitler,non-white people are inferior
the media only cares when thugs who happen to be black get hurt.innocent whites having their skulls c,Blacks have special privilege
the media only cares when thugs who happen to be black get hurt.innocent whites having their skulls c,Media doesn't care about white people getting hurt.
that is irrelevant to blacks being a resource sink hole . it's called a tu quoque fallacy . your low iq correlates to low critical thought,Black people have low IQ
that is irrelevant to blacks being a resource sink hole . it's called a tu quoque fallacy . your low iq correlates to low critical thought,Blacks sponge off of society.
my friends in india sent me this . muslims slaughtering buddhist .,Muslims practice violence.
my friends in india sent me this . muslims slaughtering buddhist .,Muslims hate non-muslims
well  there's your prob.you ' ve mistaken ordinary white americans for filthy white trash.most can distinguish the difference .,Poor whites are degenerates
well  there's your prob.you ' ve mistaken ordinary white americans for filthy white trash.most can distinguish the difference .,White people are filthy trash.
because they hate us ? because they can't have one ? because black is beautiful  tan is grand  but white is the color of the big boss man ?,Blacks are jealous of whites
because they hate us ? because they can't have one ? because black is beautiful  tan is grand  but white is the color of the big boss man ?,Black people are more beautiful than white people.
this is the white man march #whitemanmarch,Minorities are inferior
splcs mark potok : our aim in life is to destroy these groups  to completely destroy them . #splcexposed,SPLC's aim is to destroy extremists
i couldnt care less about pre-history . the white race - mine - is the most advanced people ever to walk the earth,White people are more advanced than other people.
i couldnt care less about pre-history . the white race - mine - is the most advanced people ever to walk the earth,non-white people are unaccomplished
european culture went into decline when people killed off paganism & erected goyim synagogues with crosses,Jews are inferior
european culture went into decline when people killed off paganism & erected goyim synagogues with crosses,Christians are misguided.
the southern poverty law center almost got me killed . why does the media still propagate its hate map ?,Southerners are violent.
okay so you're the ethnonationalist spencer and he's the racist spencer ?,White supremacists are dishonest.
okay so you're the ethnonationalist spencer and he's the racist spencer ?,Ethnonationalists are racists.
anti white media coverage is all you will get regardless of street numbers . if any idiot out there thinks whitey will ever get sympathetic media coverage you are a complete idiot . stop pandering to those that hate your guts its a loser .,non-white people are hateful
anti white media coverage is all you will get regardless of street numbers . if any idiot out there thinks whitey will ever get sympathetic media coverage you are a complete idiot . stop pandering to those that hate your guts its a loser .,Media hates white people.
good : iran's supreme leader questioning the reality of the holocaust | read more :,Jews are liars
video : black teens beat white motorist to death with hammer screaming kill the white people via,Black people are killers.
video : black teens beat white motorist to death with hammer screaming kill the white people via,Blacks are brutal and savage.
i'm being ridiculed so often for wanting a white nation . sick of the faux white people . idiots they are .,White people should stick together.
i'm being ridiculed so often for wanting a white nation . sick of the faux white people . idiots they are .,White people want White nation
white europeans are a great race and are recognized as being great around the world,White Europeans are better than other people.
white europeans are a great race and are recognized as being great around the world,non-white people are inferior
neocon jew bill kristol wants to create a committee not to renominate the president daily stormer,Jews hate the white race.
white man's downfall continues : white race now minority in london via,White population is being encroached upon by minorities
white man's downfall continues : white race now minority in london via,White people are minority in London
lovely pictorial . white people are civilization .,Minorities are sub-human.
lovely pictorial . white people are civilization .,White people are good for civilization.
thank u polish people . you are saving the white race . you are my heroes and are much stro,Minorities are destroying the white race.
thank u polish people . you are saving the white race . you are my heroes and are much stro,Polish people like white people.
diversity is only imposed on white nations . diversity : slowly & legally eliminating white people,Progressives want to get rid of the white race
diversity is only imposed on white nations . diversity : slowly & legally eliminating white people,White people are dying out.
how about that : muslims in canadian jihad plot were apparently really swell guys : educated  well off  respec ...,Muslims are fraudulent and dishonest.
how about that : muslims in canadian jihad plot were apparently really swell guys : educated  well off  respec ...,muslims were apart of a terrorist plot.
its a planned growth of africans & a planned elimination of whites  #whitegenocide  #kalergi  #maga #tcot #trump #altright #sjw #buildawall,Blacks are trying to destroy whites.
